Date,Hour,Location,Queue_Density,Stop_Density,Accidents_Reported,Fatalities
2020-09-01,0,Hazratganj,15,8,0,0
2020-09-02,1,Alambagh,17,10,1,1
2020-09-03,2,Gomti Nagar,19,12,2,2
2020-09-04,3,Charbagh,21,11,3,0
2020-09-05,4,Hazratganj,19,13,4,1
2020-09-06,5,Alambagh,21,10,5,2
2020-09-07,6,Gomti Nagar,17,9,0,0
2020-09-08,7,Charbagh,19,11,1,1
2020-09-09,8,Hazratganj,17,13,2,2
2020-09-10,9,Alambagh,19,12,3,0
2020-09-11,10,Gomti Nagar,21,9,4,1
2020-09-12,11,Charbagh,23,11,5,2
2020-09-13,12,Hazratganj,15,10,0,0
2020-09-14,13,Alambagh,17,12,1,1
2020-09-15,14,Gomti Nagar,19,14,2,2
2020-09-16,15,Charbagh,21,8,3,0
2020-09-17,16,Hazratganj,19,10,4,1
2020-09-18,17,Alambagh,21,12,5,2
2020-09-19,18,Gomti Nagar,17,11,0,0
2020-09-20,19,Charbagh,19,13,1,1
2020-09-21,20,Hazratganj,17,10,2,2
2020-09-22,21,Alambagh,19,9,3,0
2020-09-23,22,Gomti Nagar,21,11,4,1
2020-09-24,23,Charbagh,23,13,5,2
2020-09-25,0,Hazratganj,15,12,0,0
2020-09-26,1,Alambagh,17,9,1,1
2020-09-27,2,Gomti Nagar,19,11,2,2
2020-09-28,3,Charbagh,21,10,3,0
2020-09-29,4,Hazratganj,19,12,4,1
2020-09-30,5,Alambagh,21,14,5,2
2020-10-01,6,Gomti Nagar,17,8,0,0
2020-10-02,7,Charbagh,19,10,1,1
2020-10-03,8,Hazratganj,17,12,2,2
2020-10-04,9,Alambagh,19,11,3,0
2020-10-05,10,Gomti Nagar,21,13,4,1
2020-10-06,11,Charbagh,23,10,5,2
2020-10-07,12,Hazratganj,15,9,0,0
2020-10-08,13,Alambagh,17,11,1,1
2020-10-09,14,Gomti Nagar,19,13,2,2
2020-10-10,15,Charbagh,21,12,3,0
